eBirdID,CommonName,Count,Region,Location,County,Date,Time
S66922839,Black-capped Chickadee,4,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S66718618,Black-capped Chickadee,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S66013236,Black-capped Chickadee,2,US-CO,Yard - Parker St,Larimer,3/16/20,11:00:00
S63771755,Mountain Chickadee,5,US-WY,Medicine Bow NF--Vedauwoo CG area,Albany,1/25/20,13:14:00
S66041652,Mountain Chickadee,2,US-CO,"Pike and San Isabel National Forests, Woodland Park US-CO 39.12791, -105.23136",Teller,3/15/20,09:33:00
S67030975,Horned Lark,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Horned Lark,5,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S67143580,Tree Swallow,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66719539,Violet-green Swallow,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S67143580,swallow sp.,NA,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S63716995,Bushtit,10,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/21/20,08:46:00
S66642699,Bushtit,2,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S63771755,Red-breasted Nuthatch,1,US-WY,Medicine Bow NF--Vedauwoo CG area,Albany,1/25/20,13:14:00
S63726703,Red-breasted Nuthatch,3,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/24/20,08:12:00
S63597345,Red-breasted Nuthatch,2,US-CO,Grandview Cemetery,Larimer,1/20/20,12:00:00
S65364289,Red-breasted Nuthatch,4,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,Red-breasted Nuthatch,8,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S65698642,Red-breasted Nuthatch,2,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66024072,Red-breasted Nuthatch,2,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66642699,Red-breasted Nuthatch,8,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
