eBirdID,CommonName,Count,Region,Location,County,Date,Time
S67030975,Killdeer,8,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Killdeer,9,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66111081,Killdeer,3,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S66331971,Killdeer,1,US-CO,Reservoir Ridge Natural Area,Larimer,3/28/20,13:40:00
S66128302,Killdeer,6,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,Killdeer,8,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Killdeer,4,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Killdeer,4,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S66718618,Killdeer,NA,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S67030975,Baird's Sandpiper,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Least Sandpiper,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66719539,Greater Yellowlegs,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66858963,Greater Yellowlegs,3,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S67030975,Greater Yellowlegs,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Greater Yellowlegs,3,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66169221,Greater Yellowlegs,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S67143580,Greater/Lesser Yellowlegs,3,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S67143580,shorebird sp.,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S67143580,Franklin's Gull,NA,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S63589677,Ring-billed Gull,10,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66108842,Ring-billed Gull,3,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S66719539,Ring-billed Gull,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S67143580,Ring-billed Gull,4,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S65364289,Ring-billed Gull,6,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,Ring-billed Gull,10,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66128302,Ring-billed Gull,3,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S67143580,California Gull,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S63606162,Herring Gull,4,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S66108842,gull sp.,NA,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S66719539,gull sp.,6,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S67143580,gull sp.,NA,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66642699,gull sp.,NA,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S63606162,gull sp.,12,US-CO,Rawhide Energy Station/Hamilton Reservoir,Larimer,1/20/20,14:39:00
S66331971,gull sp.,12,US-CO,Reservoir Ridge Natural Area,Larimer,3/28/20,13:40:00
S66676560,gull sp.,6,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
